locality,bhk,price_lakhs,area_sqft,furnishing_status,facing,status,floor,parking,bathroom,city,price_per_sqft,price_segment,affordability_score
Worli,4,546.45,1385.0,Semi-Furnished,North,Under Construction,11,2,3,Mumbai,39454.87,Luxury (2Cr+),63.9
Thane West,5,231.56,1230.0,Unfurnished,East,Under Construction,15,2,2,Mumbai,18826.02,Luxury (2Cr+),85.0
Lower Parel,3,431.26,1318.0,Semi-Furnished,West,Ready to Move,24,2,2,Mumbai,32720.79,Luxury (2Cr+),71.6
Nerul,1,37.87,736.0,Unfurnished,South,Ready to Move,23,0,3,Mumbai,5145.38,Affordable (<50L),98.0
Malad East,3,101.95,987.0,Semi-Furnished,West,Under Construction,25,0,3,Mumbai,10329.28,Premium (1-2Cr),93.7
Kharghar,4,145.34,1631.0,Furnished,West,Ready to Move,4,2,2,Mumbai,8911.1,Premium (1-2Cr),90.8
Kandivali East,3,102.26,933.0,Furnished,East,Under Construction,20,1,2,Mumbai,10960.34,Premium (1-2Cr),93.7
Borivali East,2,91.35,704.0,Furnished,West,Under Construction,23,1,2,Mumbai,12975.85,Mid-Range (50-100L),94.4
Chembur,3,211.68,902.0,Unfurnished,North,Under Construction,5,2,2,Mumbai,23467.85,Luxury (2Cr+),86.3
Kharghar,2,36.29,1188.0,Semi-Furnished,South,Under Construction,19,1,1,Mumbai,3054.71,Affordable (<50L),98.1
Andheri East,3,175.36,1395.0,Furnished,West,Under Construction,22,2,3,Mumbai,12570.61,Premium (1-2Cr),88.8
Dombivli,2,32.73,757.0,Semi-Furnished,West,Under Construction,6,0,2,Mumbai,4323.65,Affordable (<50L),98.4
Mira Road,2,34.49,868.0,Semi-Furnished,East,Ready to Move,10,1,3,Mumbai,3973.5,Affordable (<50L),98.3
Dahisar,1,20.15,599.0,Furnished,East,Ready to Move,11,2,2,Mumbai,3363.94,Affordable (<50L),99.2
Chembur,1,68.58,811.0,Semi-Furnished,West,Ready to Move,24,2,1,Mumbai,8456.23,Mid-Range (50-100L),96.0
Kalyan,2,24.57,1071.0,Semi-Furnished,South,Under Construction,29,2,1,Mumbai,2294.12,Affordable (<50L),98.9
Vasai,2,24.93,1107.0,Unfurnished,West,Under Construction,4,0,3,Mumbai,2252.03,Affordable (<50L),98.9
Dadar,1,133.49,704.0,Semi-Furnished,South,Ready to Move,29,1,1,Mumbai,18961.65,Premium (1-2Cr),91.6
Nerul,1,31.2,865.0,Unfurnished,West,Under Construction,21,2,2,Mumbai,3606.94,Affordable (<50L),98.5
Borivali East,3,87.46,1325.0,Semi-Furnished,South,Under Construction,15,2,3,Mumbai,6600.75,Mid-Range (50-100L),94.7
Dombivli,2,50.69,987.0,Furnished,West,Ready to Move,1,0,3,Mumbai,5135.76,Mid-Range (50-100L),97.2
Worli,3,437.29,983.0,Semi-Furnished,West,Ready to Move,27,1,1,Mumbai,44485.25,Luxury (2Cr+),71.2
Virar,2,29.25,1002.0,Unfurnished,East,Under Construction,5,0,3,Mumbai,2919.16,Affordable (<50L),98.6
Goregaon East,1,28.51,759.0,Semi-Furnished,North,Ready to Move,5,2,2,Mumbai,3756.26,Affordable (<50L),98.7
Dahisar,3,70.71,1125.0,Semi-Furnished,West,Ready to Move,12,1,3,Mumbai,6285.33,Mid-Range (50-100L),95.8
Dahisar,1,32.98,556.0,Unfurnished,South,Under Construction,4,0,3,Mumbai,5931.65,Affordable (<50L),98.4
Kandivali East,5,217.97,1506.0,Furnished,West,Ready to Move,29,1,1,Mumbai,14473.44,Luxury (2Cr+),85.9
Airoli,3,69.21,1003.0,Semi-Furnished,West,Under Construction,22,2,1,Mumbai,6900.3,Mid-Range (50-100L),95.9
Andheri West,3,213.39,1234.0,Furnished,North,Ready to Move,21,0,2,Mumbai,17292.54,Luxury (2Cr+),86.2
Parel,4,335.08,1332.0,Semi-Furnished,North,Under Construction,2,2,2,Mumbai,25156.16,Luxury (2Cr+),78.1
Worli,1,285.32,755.0,Unfurnished,South,Ready to Move,19,1,1,Mumbai,37790.73,Luxury (2Cr+),81.4
Kandivali West,2,78.39,1157.0,Furnished,East,Ready to Move,11,1,2,Mumbai,6775.28,Mid-Range (50-100L),95.3
Lower Parel,1,159.62,612.0,Furnished,East,Under Construction,22,1,3,Mumbai,26081.7,Premium (1-2Cr),89.8
Dahisar,1,25.34,658.0,Semi-Furnished,North,Ready to Move,27,2,3,Mumbai,3851.06,Affordable (<50L),98.9
Kurla,3,137.92,1041.0,Unfurnished,North,Under Construction,2,1,3,Mumbai,13248.8,Premium (1-2Cr),91.3
Chembur,3,194.73,917.0,Furnished,North,Ready to Move,3,1,2,Mumbai,21235.55,Premium (1-2Cr),87.5
Navi Mumbai,1,34.31,559.0,Semi-Furnished,North,Ready to Move,8,0,1,Mumbai,6137.75,Affordable (<50L),98.3
Bandra West,3,373.54,1179.0,Semi-Furnished,East,Ready to Move,5,2,2,Mumbai,31682.78,Luxury (2Cr+),75.5
Dombivli,3,41.37,1008.0,Semi-Furnished,South,Under Construction,14,2,3,Mumbai,4104.17,Affordable (<50L),97.8
Vasai,3,39.22,1041.0,Semi-Furnished,North,Under Construction,7,0,3,Mumbai,3767.53,Affordable (<50L),97.9
Navi Mumbai,2,80.81,911.0,Semi-Furnished,East,Ready to Move,5,2,2,Mumbai,8870.47,Mid-Range (50-100L),95.1
Andheri East,2,129.52,834.0,Furnished,East,Under Construction,9,1,3,Mumbai,15529.98,Premium (1-2Cr),91.9
Ulhasnagar,2,39.39,1090.0,Furnished,West,Under Construction,24,2,1,Mumbai,3613.76,Affordable (<50L),97.9
Thane West,4,148.66,1507.0,Unfurnished,East,Under Construction,22,2,3,Mumbai,9864.63,Premium (1-2Cr),90.6
Parel,5,823.79,1807.0,Furnished,North,Under Construction,18,0,2,Mumbai,45588.82,Luxury (2Cr+),45.2
Mira Road,4,90.31,1443.0,Furnished,West,Under Construction,12,2,3,Mumbai,6258.49,Mid-Range (50-100L),94.5
Airoli,2,53.18,833.0,Unfurnished,South,Under Construction,12,0,1,Mumbai,6384.15,Mid-Range (50-100L),97.0
Kandivali West,5,274.02,1548.0,Semi-Furnished,West,Under Construction,2,1,2,Mumbai,17701.55,Luxury (2Cr+),82.2
Andheri West,2,90.84,1085.0,Furnished,East,Ready to Move,8,2,3,Mumbai,8372.35,Mid-Range (50-100L),94.5
Nalasopara,3,45.47,1159.0,Unfurnished,South,Under Construction,22,0,1,Mumbai,3923.21,Affordable (<50L),97.5
Mira Road,2,39.78,1121.0,Furnished,West,Ready to Move,13,2,2,Mumbai,3548.62,Affordable (<50L),97.9
Malad West,5,221.81,1477.0,Furnished,East,Ready to Move,29,2,2,Mumbai,15017.6,Luxury (2Cr+),85.7
Dadar,3,200.5,901.0,Unfurnished,West,Under Construction,2,2,3,Mumbai,22253.05,Luxury (2Cr+),87.1
Thane West,5,206.68,1645.0,Semi-Furnished,South,Under Construction,19,2,3,Mumbai,12564.13,Luxury (2Cr+),86.7
Thane West,3,126.82,1264.0,Furnished,West,Ready to Move,12,2,2,Mumbai,10033.23,Premium (1-2Cr),92.1
Parel,4,676.95,1032.0,Semi-Furnished,South,Ready to Move,17,2,2,Mumbai,65595.93,Luxury (2Cr+),55.1
Panvel,3,106.54,872.0,Furnished,North,Ready to Move,19,1,2,Mumbai,12217.89,Premium (1-2Cr),93.4
Nerul,1,47.1,569.0,Unfurnished,West,Ready to Move,10,2,1,Mumbai,8277.68,Affordable (<50L),97.4
Vikhroli,3,93.39,928.0,Semi-Furnished,North,Ready to Move,11,1,3,Mumbai,10063.58,Mid-Range (50-100L),94.3
Nalasopara,3,44.34,1364.0,Furnished,East,Under Construction,1,0,2,Mumbai,3250.73,Affordable (<50L),97.6
Andheri East,3,172.91,1494.0,Unfurnished,North,Ready to Move,13,1,2,Mumbai,11573.63,Premium (1-2Cr),89.0
Nalasopara,2,15.88,744.0,Semi-Furnished,East,Under Construction,25,2,1,Mumbai,2134.41,Affordable (<50L),99.5
Malad East,4,137.71,1418.0,Furnished,West,Ready to Move,3,0,2,Mumbai,9711.57,Premium (1-2Cr),91.3
Bandra East,1,78.1,565.0,Furnished,East,Under Construction,15,0,1,Mumbai,13823.01,Mid-Range (50-100L),95.3
Vashi,2,72.15,1175.0,Furnished,East,Ready to Move,28,1,2,Mumbai,6140.43,Mid-Range (50-100L),95.7
Powai,1,60.86,897.0,Unfurnished,South,Under Construction,29,2,3,Mumbai,6784.84,Mid-Range (50-100L),96.5
Malad East,1,35.91,563.0,Semi-Furnished,North,Under Construction,6,0,3,Mumbai,6378.33,Affordable (<50L),98.2
Nerul,1,40.07,759.0,Furnished,East,Ready to Move,10,2,2,Mumbai,5279.31,Affordable (<50L),97.9
Thane East,1,22.16,836.0,Semi-Furnished,East,Under Construction,29,2,1,Mumbai,2650.72,Affordable (<50L),99.1
Malad West,2,96.03,746.0,Furnished,South,Ready to Move,27,0,1,Mumbai,12872.65,Mid-Range (50-100L),94.1
Bandra West,4,826.1,1028.0,Unfurnished,South,Ready to Move,5,2,2,Mumbai,80359.92,Luxury (2Cr+),45.1
Kalyan,3,45.95,853.0,Unfurnished,East,Under Construction,26,1,3,Mumbai,5386.87,Affordable (<50L),97.5
Powai,2,248.69,731.0,Furnished,South,Under Construction,29,2,2,Mumbai,34020.52,Luxury (2Cr+),83.9
Bandra West,3,548.29,1203.0,Furnished,East,Ready to Move,6,2,3,Mumbai,45576.89,Luxury (2Cr+),63.7
Dombivli,4,72.05,1191.0,Furnished,West,Under Construction,27,1,3,Mumbai,6049.54,Mid-Range (50-100L),95.7
Kandivali West,2,107.49,1136.0,Unfurnished,North,Ready to Move,10,1,2,Mumbai,9462.15,Premium (1-2Cr),93.3
Chembur,3,116.74,1382.0,Semi-Furnished,East,Ready to Move,12,2,2,Mumbai,8447.18,Premium (1-2Cr),92.7
Ghatkopar East,1,46.43,591.0,Semi-Furnished,South,Under Construction,24,0,2,Mumbai,7856.18,Affordable (<50L),97.5
Borivali East,2,81.86,971.0,Semi-Furnished,North,Under Construction,28,2,3,Mumbai,8430.48,Mid-Range (50-100L),95.1
Kurla,3,173.6,1297.0,Semi-Furnished,South,Ready to Move,17,1,1,Mumbai,13384.73,Premium (1-2Cr),88.9
Malad East,3,104.17,1254.0,Unfurnished,West,Under Construction,14,2,3,Mumbai,8307.02,Premium (1-2Cr),93.6
Goregaon East,2,110.4,997.0,Unfurnished,East,Ready to Move,1,1,2,Mumbai,11073.22,Premium (1-2Cr),93.2
Goregaon West,5,160.22,1301.0,Semi-Furnished,East,Under Construction,17,2,3,Mumbai,12315.14,Premium (1-2Cr),89.8
Nalasopara,3,56.41,1044.0,Semi-Furnished,North,Under Construction,20,1,2,Mumbai,5403.26,Mid-Range (50-100L),96.8
Worli,2,582.31,776.0,Furnished,East,Ready to Move,16,0,2,Mumbai,75039.95,Luxury (2Cr+),61.4
Kharghar,3,115.57,1137.0,Unfurnished,East,Under Construction,28,1,2,Mumbai,10164.47,Premium (1-2Cr),92.8
Ulhasnagar,1,15.82,679.0,Unfurnished,South,Under Construction,27,1,1,Mumbai,2329.9,Affordable (<50L),99.5
Thane West,2,52.6,927.0,Semi-Furnished,South,Ready to Move,3,0,3,Mumbai,5674.22,Mid-Range (50-100L),97.0
Vashi,5,254.08,1907.0,Furnished,West,Under Construction,7,0,3,Mumbai,13323.54,Luxury (2Cr+),83.5
Kharghar,2,66.15,813.0,Unfurnished,West,Under Construction,21,0,2,Mumbai,8136.53,Mid-Range (50-100L),96.1
Vashi,3,118.45,1146.0,Furnished,West,Under Construction,18,1,2,Mumbai,10335.95,Premium (1-2Cr),92.6
Dadar,1,145.74,868.0,Unfurnished,West,Ready to Move,24,0,1,Mumbai,16790.32,Premium (1-2Cr),90.8
Goregaon East,4,207.91,1015.0,Semi-Furnished,West,Under Construction,20,0,2,Mumbai,20483.74,Luxury (2Cr+),86.6
Dahisar,1,26.0,731.0,Furnished,East,Ready to Move,1,0,3,Mumbai,3556.77,Affordable (<50L),98.8
Parel,3,315.53,1485.0,Semi-Furnished,West,Under Construction,18,2,2,Mumbai,21247.81,Luxury (2Cr+),79.4
Dahisar,2,79.91,997.0,Furnished,North,Ready to Move,9,1,3,Mumbai,8015.05,Mid-Range (50-100L),95.2
Kandivali East,3,125.98,1371.0,Semi-Furnished,North,Ready to Move,7,2,3,Mumbai,9188.91,Premium (1-2Cr),92.1
Mulund East,2,88.03,1092.0,Unfurnished,North,Ready to Move,9,1,2,Mumbai,8061.36,Mid-Range (50-100L),94.7
Thane East,3,102.06,1273.0,Furnished,East,Ready to Move,26,2,3,Mumbai,8017.28,Premium (1-2Cr),93.7
Kandivali East,3,102.43,878.0,Semi-Furnished,West,Under Construction,19,1,3,Mumbai,11666.29,Premium (1-2Cr),93.7
Ghatkopar East,3,184.74,1273.0,Semi-Furnished,North,Ready to Move,29,0,1,Mumbai,14512.18,Premium (1-2Cr),88.2
Kandivali West,1,53.35,805.0,Furnished,South,Under Construction,5,1,3,Mumbai,6627.33,Mid-Range (50-100L),97.0
Vashi,1,60.08,753.0,Semi-Furnished,East,Under Construction,4,1,2,Mumbai,7978.75,Mid-Range (50-100L),96.5
Mira Road,3,95.16,1495.0,Semi-Furnished,West,Ready to Move,12,2,3,Mumbai,6365.22,Mid-Range (50-100L),94.2
Thane East,3,121.72,1003.0,Semi-Furnished,South,Under Construction,16,1,2,Mumbai,12135.59,Premium (1-2Cr),92.4
Vikhroli,1,29.61,849.0,Furnished,East,Under Construction,22,0,1,Mumbai,3487.63,Affordable (<50L),98.6
Kharghar,1,20.57,778.0,Furnished,East,Under Construction,2,2,3,Mumbai,2643.96,Affordable (<50L),99.2
Borivali West,1,46.04,596.0,Furnished,North,Ready to Move,11,1,2,Mumbai,7724.83,Affordable (<50L),97.5
Vikhroli,5,189.56,1786.0,Furnished,East,Ready to Move,20,2,3,Mumbai,10613.66,Premium (1-2Cr),87.8
Andheri West,4,200.09,1134.0,Furnished,North,Ready to Move,15,0,3,Mumbai,17644.62,Luxury (2Cr+),87.1
Vasai,1,22.66,832.0,Unfurnished,North,Under Construction,12,2,3,Mumbai,2723.56,Affordable (<50L),99.0
Kharghar,1,44.64,593.0,Furnished,South,Under Construction,29,0,2,Mumbai,7527.82,Affordable (<50L),97.6
Borivali East,2,91.36,858.0,Furnished,North,Under Construction,12,1,3,Mumbai,10648.02,Mid-Range (50-100L),94.4
Vashi,1,39.96,891.0,Unfurnished,North,Under Construction,15,2,2,Mumbai,4484.85,Affordable (<50L),97.9
Nerul,3,84.99,869.0,Furnished,South,Under Construction,18,1,3,Mumbai,9780.21,Mid-Range (50-100L),94.9
Kandivali East,1,27.27,806.0,Furnished,South,Under Construction,5,2,2,Mumbai,3383.37,Affordable (<50L),98.7
Andheri West,3,296.15,1093.0,Semi-Furnished,West,Under Construction,17,1,1,Mumbai,27095.15,Luxury (2Cr+),80.7
Goregaon East,3,184.23,1447.0,Furnished,North,Ready to Move,16,1,3,Mumbai,12731.86,Premium (1-2Cr),88.2
Borivali West,4,108.15,1526.0,Semi-Furnished,South,Under Construction,9,0,1,Mumbai,7087.16,Premium (1-2Cr),93.3
Dadar,4,272.57,1231.0,Unfurnished,South,Under Construction,29,1,3,Mumbai,22142.16,Luxury (2Cr+),82.3
Virar,2,39.43,1081.0,Furnished,North,Ready to Move,13,2,1,Mumbai,3647.55,Affordable (<50L),97.9
Vashi,3,156.05,1063.0,Furnished,South,Under Construction,7,2,3,Mumbai,14680.15,Premium (1-2Cr),90.1
Navi Mumbai,4,163.51,1437.0,Unfurnished,South,Under Construction,26,2,2,Mumbai,11378.57,Premium (1-2Cr),89.6
Kandivali East,5,216.31,1625.0,Furnished,West,Under Construction,16,1,3,Mumbai,13311.38,Luxury (2Cr+),86.0
Kurla,5,148.52,1292.0,Furnished,North,Under Construction,4,2,2,Mumbai,11495.36,Premium (1-2Cr),90.6
Nerul,3,141.46,1315.0,Unfurnished,East,Ready to Move,23,2,3,Mumbai,10757.41,Premium (1-2Cr),91.1
Mulund West,4,208.89,1304.0,Furnished,East,Under Construction,19,1,3,Mumbai,16019.17,Luxury (2Cr+),86.5
Bandra East,2,164.16,854.0,Unfurnished,South,Ready to Move,8,1,3,Mumbai,19222.48,Premium (1-2Cr),89.5
Chembur,1,49.2,892.0,Semi-Furnished,East,Under Construction,11,2,3,Mumbai,5515.7,Affordable (<50L),97.3
Malad East,3,120.84,1311.0,Furnished,West,Ready to Move,10,1,1,Mumbai,9217.39,Premium (1-2Cr),92.5
Powai,3,291.37,1185.0,Furnished,West,Ready to Move,15,1,2,Mumbai,24588.19,Luxury (2Cr+),81.0
Kandivali East,3,95.69,1004.0,Furnished,South,Under Construction,24,2,3,Mumbai,9530.88,Mid-Range (50-100L),94.1
Nalasopara,5,92.87,1878.0,Semi-Furnished,East,Ready to Move,18,0,1,Mumbai,4945.15,Mid-Range (50-100L),94.3
Ulhasnagar,1,13.67,737.0,Semi-Furnished,South,Ready to Move,15,2,3,Mumbai,1854.82,Affordable (<50L),99.7
Kandivali West,5,170.46,1750.0,Furnished,West,Ready to Move,2,2,3,Mumbai,9740.57,Premium (1-2Cr),89.1
